Composition:
0.03 ENA|CP000473|CP000473.1 Solibacter usitatus Ellin6076, complete genome.
0.02 ENA|CP003364|CP003364.1 Singulisphaera acidiphila DSM 18658, complete genome.
0.02 ENA|CP003130|CP003130.1 Granulicella mallensis MP5ACTX8, complete genome.
0.02 ENA|CP001032|CP001032.1 Opitutus terrae PB90-1, complete genome.
0.02 ENA|CP000360|CP000360.1 Candidatus Koribacter versatilis Ellin345, complete genome.
0.02 ENA|CP002467|CP002467.1 Terriglobus saanensis SP1PR4, complete genome.
0.02 ENA|BX119912|BX119912.1 Rhodopirellula baltica SH 1 complete genome
0.02 ENA|CP003379|CP003379.1 Terriglobus roseus DSM 18391, complete genome.
0.01 ENA|CP001848|CP001848.1 Pirellula staleyi DSM 6068, complete genome.
0.01 ENA|CP002480|CP002480.1 Granulicella tundricola MP5ACTX9, complete genome.
0.01 ENA|CP000909|CP000909.1 Chloroflexus aurantiacus J-10-fl, complete genome.
0.01 ENA|CP001364|CP001364.1 Chloroflexus sp. Y-400-fl, complete genome.
0.01 ENA|CP001472|CP001472.1 Acidobacterium capsulatum ATCC 51196, complete genome.
0.01 ENA|FP929003|FP929003.1 Candidatus Nitrospira defluvii chromosome, complete genome.
0.01 ENA|AP009153|AP009153.1 Gemmatimonas aurantiaca T-27 DNA, complete genome.
0.01 ENA|CP003301|CP003301.1 Escherichia coli O104:H4 str. 2009EL-2071, complete genome.
0.01 ENA|CP002546|CP002546.1 Planctomyces brasiliensis DSM 5305, complete genome.
0.01 ENA|CP001744|CP001744.1 Planctomyces limnophilus DSM 3776, complete genome.
0.01 ENA|CP002516|CP002516.1 Escherichia coli KO11, complete genome.
0.01 ENA|CP001589|CP001589.1 Yersinia pestis D182038, complete genome.
0.01 ENA|AE017042|AE017042.1 Yersinia pestis biovar Microtus str. 91001, complete genome.
0.01 ENA|CP002956|CP002956.1 Yersinia pestis A1122, complete genome.
0.01 ENA|CP002729|CP002729.1 Escherichia coli UMNK88, complete genome.
0.01 ENA|CP001998|CP001998.1 Coraliomargarita akajimensis DSM 45221, complete genome.
0.01 ENA|FN649414|FN649414.1 Escherichia coli ETEC H10407, complete genome
0.01 ENA|CP002614|CP002614.1 Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1, complete genome.
0.01 ENA|CP002353|CP002353.1 Isosphaera pallida ATCC 43644, complete genome.
0.01 ENA|CP000857|CP000857.1 Salmonella enterica subsp. enterica serovar Paratyphi C strain RKS4594, complete genome.
0.01 ENA|CP000886|CP000886.1 Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7, complete genome.
0.01 ENA|AE017220|AE017220.1 Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67, complete genome.
0.01 ENA|CP001846|CP001846.1 Escherichia coli O55:H7 str. CB9615, complete genome.
0.01 ENA|CM000789|CM000789.2 Mycobacterium tuberculosis KZN R506 chromosome, whole genome shotgun sequence.
0.01 ENA|CP001144|CP001144.1 Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853, complete genome.
0.01 ENA|CP003900|CP003900.2 Mycobacterium bovis BCG str. Korea 1168P, complete genome.
0.01 ENA|HE616528|HE616528.1 Shigella sonnei 53G main chromosome, complete genome
0.01 ENA|CP001164|CP001164.1 Escherichia coli O157:H7 str. EC4115, complete genome.
0.01 ENA|HE608151|HE608151.1 Mycobacterium tuberculosis UT205 complete genome
0.01 ENA|AP012306|AP012306.1 Escherichia coli str. K-12 substr. MDS42 DNA, complete genome.
0.01 ENA|CP005386|CP005386.1 Mycobacterium tuberculosis CAS/NITR204, complete genome.
0.01 ENA|FM200053|FM200053.1 Salmonella enterica subsp. enterica serovar Paratyphi A str. AKU_12601 complete genome, strain AKU_12601
0.01 ENA|CP002099|CP002099.1 Salmonella enterica subsp. enterica serovar Typhi str. Ty21a, complete genome.
0.01 ENA|CP001383|CP001383.1 Shigella flexneri 2002017, complete genome.
0.01 ENA|CP003034|CP003034.1 Escherichia coli O7:K1 str. CE10, complete genome.
0.01 ENA|CP002514|CP002514.1 Chloracidobacterium thermophilum B chromosome 1, complete sequence.
0.01 ENA|CP001071|CP001071.1 Akkermansia muciniphila ATCC BAA-835, complete genome.
0.01 ENA|CP001921|CP001921.1 Acinetobacter baumannii 1656-2, complete genome.
0.01 ENA|CP000034|CP000034.1 Shigella dysenteriae Sd197, complete genome.
0.01 ENA|CP000863|CP000863.1 Acinetobacter baumannii ACICU, complete genome.
0.01 ENA|AP012342|AP012342.1 Leptospirillum ferrooxidans C2-3 DNA, complete genome.
0.01 ENA|CP000975|CP000975.1 Methylacidiphilum infernorum V4, complete genome.
0.01 ENA|FO203509|FO203509.1 Mycobacterium canettii CIPT 140070010 complete genome
0.01 ENA|CP002919|CP002919.1 Leptospirillum ferriphilum ML-04, complete genome.
0.01 ENA|CU459141|CU459141.1 Acinetobacter baumannii str. AYE, complete genome.
0.01 ENA|CP001172|CP001172.1 Acinetobacter baumannii AB307-0294, complete genome.
0.01 ENA|AP012338|AP012338.1 Phycisphaera mikurensis NBRC 102666 DNA, complete genome.
0.01 ENA|CP001404|CP001404.1 Sulfolobus islandicus Y.N.15.51, complete genome.
0.01 ENA|CP001399|CP001399.1 Sulfolobus islandicus L.S.2.15, complete genome.
0.01 ENA|CP001403|CP001403.1 Sulfolobus islandicus Y.G.57.14, complete genome.
0.01 ENA|CP001731|CP001731.1 Sulfolobus islandicus L.D.8.5, complete genome.
0.01 ENA|CP000875|CP000875.1 Herpetosiphon aurantiacus DSM 785, complete genome.
0.01 ENA|CP002426|CP002426.1 Sulfolobus islandicus HVE10/4, complete genome.
0.01 ENA|CP001400|CP001400.1 Sulfolobus islandicus M.14.25, complete genome.
0.01 ENA|CP002425|CP002425.1 Sulfolobus islandicus REY15A, complete genome.
0.01 ENA|CP003928|CP003928.1 Sulfolobus islandicus LAL14/1, complete genome.
0.01 ENA|CP001097|CP001097.1 Chlorobium limicola DSM 245, complete genome.
0.00 ENA|CP001147|CP001147.1 Thermodesulfovibrio yellowstonii DSM 11347, complete genome.
0.00 ENA|FQ312004|FQ312004.1 Bacteroides fragilis 638R genome.
