Composition:
0.03 ENA|CP000473|CP000473.1 Solibacter usitatus Ellin6076, complete genome.
0.02 ENA|CP003364|CP003364.1 Singulisphaera acidiphila DSM 18658, complete genome.
0.02 ENA|CP003130|CP003130.1 Granulicella mallensis MP5ACTX8, complete genome.
0.02 ENA|BX119912|BX119912.1 Rhodopirellula baltica SH 1 complete genome
0.02 ENA|CP001032|CP001032.1 Opitutus terrae PB90-1, complete genome.
0.02 ENA|CP000360|CP000360.1 Candidatus Koribacter versatilis Ellin345, complete genome.
0.01 ENA|CP001848|CP001848.1 Pirellula staleyi DSM 6068, complete genome.
0.01 ENA|CP002467|CP002467.1 Terriglobus saanensis SP1PR4, complete genome.
0.01 ENA|CP002546|CP002546.1 Planctomyces brasiliensis DSM 5305, complete genome.
0.01 ENA|BA000040|BA000040.2 Bradyrhizobium diazoefficiens USDA 110 DNA, complete genome.
0.01 ENA|AP012206|AP012206.1 Bradyrhizobium japonicum USDA 6 DNA, complete genome.
0.01 ENA|CP000909|CP000909.1 Chloroflexus aurantiacus J-10-fl, complete genome.
0.01 ENA|CP003379|CP003379.1 Terriglobus roseus DSM 18391, complete genome.
0.01 ENA|CP002353|CP002353.1 Isosphaera pallida ATCC 43644, complete genome.
0.01 ENA|CP001744|CP001744.1 Planctomyces limnophilus DSM 3776, complete genome.
0.01 ENA|CP002480|CP002480.1 Granulicella tundricola MP5ACTX9, complete genome.
0.01 ENA|CM000789|CM000789.2 Mycobacterium tuberculosis KZN R506 chromosome, whole genome shotgun sequence.
0.01 ENA|AP009153|AP009153.1 Gemmatimonas aurantiaca T-27 DNA, complete genome.
0.01 ENA|CP000494|CP000494.1 Bradyrhizobium sp. BTAi1, complete genome.
0.01 ENA|CP003900|CP003900.2 Mycobacterium bovis BCG str. Korea 1168P, complete genome.
0.01 ENA|HE608151|HE608151.1 Mycobacterium tuberculosis UT205 complete genome
0.01 ENA|CP001472|CP001472.1 Acidobacterium capsulatum ATCC 51196, complete genome.
0.01 ENA|CU234118|CU234118.1 Bradyrhizobium sp. ORS278,complete sequence.
0.01 ENA|CP005386|CP005386.1 Mycobacterium tuberculosis CAS/NITR204, complete genome.
0.01 ENA|CP000875|CP000875.1 Herpetosiphon aurantiacus DSM 785, complete genome.
0.01 ENA|CP001998|CP001998.1 Coraliomargarita akajimensis DSM 45221, complete genome.
0.01 ENA|FO203507|FO203507.1 Mycobacterium canettii CIPT 140060008 complete genome
0.01 ENA|AP012279|AP012279.1 Bradyrhizobium sp. S23321 DNA, complete genome.
0.01 ENA|CP000686|CP000686.1 Roseiflexus sp. RS-1, complete genome.
0.01 ENA|CP000804|CP000804.1 Roseiflexus castenholzii DSM 13941, complete genome.
0.01 ENA|AP012338|AP012338.1 Phycisphaera mikurensis NBRC 102666 DNA, complete genome.
0.01 ENA|AP012337|AP012337.1 Caldilinea aerophila DSM 14535 = NBRC 104270 DNA, complete genome.
0.01 ENA|CP001097|CP001097.1 Chlorobium limicola DSM 245, complete genome.
0.01 ENA|CP002514|CP002514.1 Chloracidobacterium thermophilum B chromosome 1, complete sequence.
0.01 ENA|CP001071|CP001071.1 Akkermansia muciniphila ATCC BAA-835, complete genome.
0.01 ENA|CP001337|CP001337.1 Chloroflexus aggregans DSM 9485, complete genome.
0.01 ENA|FO082820|FO082820.1 Rhizobium sp. NT-26 chromosome, complete genome.
0.01 ENA|AM236080|AM236080.1 Rhizobium leguminosarum bv. viciae chromosome complete genome, strain 3841
0.01 ENA|CP002516|CP002516.1 Escherichia coli KO11, complete genome.
0.01 ENA|CP000946|CP000946.1 Escherichia coli ATCC 8739, complete genome.
0.01 ENA|CP000975|CP000975.1 Methylacidiphilum infernorum V4, complete genome.
0.01 ENA|CP001622|CP001622.1 Rhizobium leguminosarum bv. trifolii WSM1325, complete genome.
0.01 ENA|HE616528|HE616528.1 Shigella sonnei 53G main chromosome, complete genome
0.01 ENA|CP001846|CP001846.1 Escherichia coli O55:H7 str. CB9615, complete genome.
0.01 ENA|CP004015|CP004015.1 Rhizobium tropici CIAT 899, complete genome.
0.01 ENA|AP012306|AP012306.1 Escherichia coli str. K-12 substr. MDS42 DNA, complete genome.
0.01 ENA|CP001383|CP001383.1 Shigella flexneri 2002017, complete genome.
0.01 ENA|AP012029|AP012029.1 Anaerolinea thermophila UNI-1 DNA, complete genome.
0.00 ENA|CP000133|CP000133.1 Rhizobium etli CFN 42, complete genome.
0.00 ENA|CP001191|CP001191.1 Rhizobium leguminosarum bv. trifolii WSM2304, complete genome.
0.00 ENA|CP001074|CP001074.1 Rhizobium etli CIAT 652, complete genome.
0.00 ENA|CP000034|CP000034.1 Shigella dysenteriae Sd197, complete genome.
0.00 ENA|FQ312004|FQ312004.1 Bacteroides fragilis 638R genome.
0.00 ENA|AP006841|AP006841.1 Bacteroides fragilis YCH46 DNA, complete genome.
0.00 ENA|CR626927|CR626927.1 Bacteroides fragilis NCTC 9343, complete genome
0.00 ENA|CP001823|CP001823.1 Sphaerobacter thermophilus DSM 20745 chromosome 1, complete sequence.
0.00 ENA|CP003197|CP003197.1 Propionibacterium acnes TypeIA2 P.acn31, complete genome.
0.00 ENA|CP003195|CP003195.1 Propionibacterium acnes TypeIA2 P.acn33, complete genome.
0.00 ENA|CP003293|CP003293.1 Propionibacterium acnes HL096PA1, complete genome.
0.00 ENA|CP003323|CP003323.1 Mycobacterium intracellulare MOTT-02, complete genome.
0.00 ENA|CP001593|CP001593.1 Yersinia pestis Z176003, complete genome.
0.00 ENA|BX936398|BX936398.1 Yersinia pseudotuberculosis IP32953 genome, complete sequence.
0.00 ENA|CP001404|CP001404.1 Sulfolobus islandicus Y.N.15.51, complete genome.
0.00 ENA|CP003322|CP003322.1 Mycobacterium intracellulare ATCC 13950, complete genome.
0.00 ENA|CP001731|CP001731.1 Sulfolobus islandicus L.D.8.5, complete genome.
0.00 ENA|CP002426|CP002426.1 Sulfolobus islandicus HVE10/4, complete genome.
0.00 ENA|CP001055|CP001055.1 Elusimicrobium minutum Pei191, complete genome.
0.00 ENA|CP002425|CP002425.1 Sulfolobus islandicus REY15A, complete genome.
